titulo_normalizado,id_hash,arquivo_origem,eh_principal_escolhido,confianca_metadados,motivo
escola nacional de administracao publica,423c4432accd540cfd440de365ee3b67e6ea31c61c95a73b0ea7cfcca7ea7588,423c4432accd540cfd440de365ee3b67e6ea31c61c95a73b0ea7cfcca7ea7588.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,42c47b32b4d8bc12eef999b0b58fadebe468bff5cbe9db49dffd76d638f609ca,42c47b32b4d8bc12eef999b0b58fadebe468bff5cbe9db49dffd76d638f609ca.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,4af3666b6ab6eae790b8b08fd4ad0685a43e8ab43efcb62d5ad30e32a378d37c,4af3666b6ab6eae790b8b08fd4ad0685a43e8ab43efcb62d5ad30e32a378d37c.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,4e0f6944eae3664204a17b758cbc177c7acedabe66e832c01359ce2f2c14167a,4e0f6944eae3664204a17b758cbc177c7acedabe66e832c01359ce2f2c14167a.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,5daadfc9370abe1a6387c179fcf0191f69608b0057a38876ff3f44ed0de5d330,5daadfc9370abe1a6387c179fcf0191f69608b0057a38876ff3f44ed0de5d330.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,5e06bab9c4f191e1eb4bb90ecbcfd9eec658f4466ea4c40d983f4bddf41af63d,5e06bab9c4f191e1eb4bb90ecbcfd9eec658f4466ea4c40d983f4bddf41af63d.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,5f082255d537b5a13650be7606a5f93435a55bffa6a1979df71536b4c7e448f6,5f082255d537b5a13650be7606a5f93435a55bffa6a1979df71536b4c7e448f6.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,65f9ab25a1eade081fbb09d0a3b26057f4ac39189073549691185712ad1070dc,65f9ab25a1eade081fbb09d0a3b26057f4ac39189073549691185712ad1070dc.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,675d9c4f7c86405c99a2a0c63552dd314ca6b7a9fdba6d408cdb73d549bf4514,675d9c4f7c86405c99a2a0c63552dd314ca6b7a9fdba6d408cdb73d549bf4514.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,687fe2c0916e6202786d1784fa7f55afe63b77211f8b933b5f95956ab744b512,687fe2c0916e6202786d1784fa7f55afe63b77211f8b933b5f95956ab744b512.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,72eb508a212d501ced75d29526836ad47da71d290473f10073b8f81fd602d681,72eb508a212d501ced75d29526836ad47da71d290473f10073b8f81fd602d681.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,75c20180524ba85bd9bc8227f1d0f1eedaf2d56bcdb61e7fab4ff63d49ff9130,75c20180524ba85bd9bc8227f1d0f1eedaf2d56bcdb61e7fab4ff63d49ff9130.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,76ba2e1ec6407cd37daa820e46f8e2adff369caf6aa68ab3e7be6786cbb96897,76ba2e1ec6407cd37daa820e46f8e2adff369caf6aa68ab3e7be6786cbb96897.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,7a14e10d0465b66e4d35d307e6158351e5422943687f7ddb97619b51b4578611,7a14e10d0465b66e4d35d307e6158351e5422943687f7ddb97619b51b4578611.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,7aa9b1ff3066b7e422a2b00a4d42fbb8736318e0b2ed8e8dbf66ebcd8b079ff4,7aa9b1ff3066b7e422a2b00a4d42fbb8736318e0b2ed8e8dbf66ebcd8b079ff4.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,7acffed319a0a34c2aa08264f4d22010c08e5ce4d7a3b0ca7e5149480c23d944,7acffed319a0a34c2aa08264f4d22010c08e5ce4d7a3b0ca7e5149480c23d944.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
